Selected members of the factorial sequence (sequence A000142 in the OEIS); values specified in scientific notation are rounded to the displayed precision
n	n!
0	1
1	1
2	2
3	6
4	24
5	120
6	720
7	5040
8	40320
9	362880
10	3628800
11	39916800
12	479001600
13	6227020800
14	87178291200
15	1307674368000
16	20922789888000
17	355687428096000
18	6402373705728000
19	121645100408832000
20	2432902008176640000
25	1.551121004×1025
50	3.041409320×1064
70	1.197857167×10100
100	9.332621544×10157
450	1.733368733×101000
1000	4.023872601×102567
3249	6.412337688×1010000
10000	2.846259681×1035659
25206	1.205703438×10100000
100000	2.824229408×10456573
205023	2.503898932×101000004
1000000	8.263931688×105565708
10100	1010101.9981097754820
